Spotify ID,Title,Artist,Album,Release Date,Popularity
2Zn1CQGOPESxkRDxRGQS6d,Arena,"Yogi B, Shakthisree Gopalan",TEST - Telugu (Soundtrack from the Netflix Film),2025-03-25,1
3FLr8Xv3Zdm8ashT43NmGf,UGADHI SONG TELUGU,"Pavan Charan, BA NARAYANA",UGADHI SONG TELUGU,2025-03-22,4
4puvTPLKBIiSKKiLPqzDVN,Maaya Maaya,"Thaman S, Saketh Kommajosyula, Sruthi Ranjani, Ramajogayya Sastry",Sabdham (Telugu) [Original Motion Picture Soundtrack],2025-02-28,25
2JkaQflvQwn3N5m8abGkdF,Moodonthulu Munnierugaa,"Thaman S, Ramya Behara, Ramajogayya Sastry",Sabdham (Telugu) [Original Motion Picture Soundtrack],2025-02-28,25
6sGvMs0gUvDjhx5tFxzThE,The Soul Of Appanna - Part 1,Thaman S,Game Changer (Telugu),2025-02-02,28
3KQlFlV8CKpEnJKhO6OKSZ,The Conflict,Thaman S,Game Changer (Telugu),2025-02-02,28
5dpnIR8nIL9iMzeDqelu93,Ram's Comeback,Thaman S,Game Changer (Telugu),2025-02-02,28
6H5tnpPRJDvGENHh1j6iBS,Love Dhop,Thaman S,Game Changer (Telugu),2025-02-02,27
3AM69qzTqwns3FLV0dTyZG,The Unpredictable Rap Verse,Thaman S,Game Changer (Telugu),2025-02-02,33
2shYlun53VlMEWm9VUXBqz,The Soul Of Appanna - Part 2,Thaman S,Game Changer (Telugu),2025-02-02,34
17F4IbapXodUEXQm7PzxnP,Truth Of Appanna,Thaman S,Game Changer (Telugu),2025-02-02,29
3mszJXh8SZ7uia7MdF6lRy,Dhop,"Thaman S, Roshini JKV, Prudhvi Chandra, Sruthi Ranjani, Saraswati Putra Ramajogayya Sastry",Game Changer (Telugu),2025-02-02,19
3BaWFEzYy2b596hvKiqy2O,NaaNaa Hyraanaa,"Thaman S, Karthik, Shreya Ghoshal, Saraswati Putra Ramajogayya Sastry",Game Changer (Telugu),2025-02-02,19
4rXh49XtpUTwQtKaWy9x1o,The Raid,Thaman S,Game Changer (Telugu),2025-02-02,32
3YvqAHg1pahMaZXwe2Cu5B,Jaragandi - Ver 2,"Thaman S, Sri Krishna, Sahithi Chaganti, Anantha Sriram",Game Changer (Telugu),2025-02-02,19
5wQtrgbIVWxFByfgr6SlXz,Ishq Karo [TELUGU],"Shafaat Ali, Manu Vardhan, Sairam Mudumba",Kiss Kiss Kissik [TELUGU],2025-03-28,0
6sdTFQ6ADIWnyUq1clwJkh,Ram Nandan's Love,Thaman S,Game Changer (Telugu),2025-02-02,26
7vNd0MT4fE9kZWpaVRB1IA,Yentamma [TELUGU],"Santhosh Venky, Ravi Basrur, Purnachari",Zebra [TELUGU],2025-01-08,10
5OtmnLVYwFnDmN4LTbxknH,Muevelo [TELUGU],"A. R. Ameen, Suba, A.R. Rahman, Rakendu Mouli, Thoughtsfornow",Kadhalikka Neramillai [TELUGU],2025-02-13,13
02KZRkSIO975LIdL2Jgldn,You & Me Not Same,"Lipsika Bhashyam, Suresh Bobbili",Artiste [TELUGU],2025-03-21,2
20FOVVLfghcVMdTQBcvolX,Mopidevi,Thaman S,Game Changer (Telugu),2025-02-02,25
3Mtn460oJlBv5eEkZvpwuB,Raa Macha Macha,"Thaman S, Anantha Sriram, Nakash Aziz",Game Changer (Telugu),2025-02-02,21
2YrvrmRiSVpRJMuny1ssbJ,Maaf Kar [TELUGU],"Shafaat Ali, Balaji Sri, Sairam Mudumba",Kiss Kiss Kissik [TELUGU],2025-03-28,0
25bHxe1cImmXXlFxKcDmKT,The Hope,Thaman S,Game Changer (Telugu),2025-02-02,25
0XsM8Qqkytl7pPe6vVz1sR,The Soul Of Appanna - Part 3,Thaman S,Game Changer (Telugu),2025-02-02,22
5vl4IqutofnLjtdDSChalO,Shivoham [TELUGU],"Shafaat Ali, Rahul Saxena, Shiv Hare, Kumar Nigranth, Sairam Mudumba",Kiss Kiss Kissik [TELUGU],2025-03-28,0
67qNkhnEu0XhpcdO2Lx9QR,Baby Chiki Chiki [TELUGU],"Sireesha Bhagavatula, A.R. Rahman, Kalpradah",Kadhalikka Neramillai [TELUGU],2025-02-13,12
1W5mxC9lwsJGa0iYywdrWR,Taaka Taaki [TELUGU],"DR. NITZ a.k.a NITIN 'NITZ' ARORA, Gayathri Suresh, Sairam Mudumba",Kiss Kiss Kissik [TELUGU],2025-03-28,0
4hpY5ozA07xqx8X73qTc1N,Nafarmaniyan [TELUGU],"DR. NITZ a.k.a NITIN 'NITZ' ARORA, Rahul Saxena, Savani, Sonal Pradhan, Sairam Mudumba",Kiss Kiss Kissik [TELUGU],2025-03-28,0
3jzKptk8D8GXsSbrCQ5CJV,The Attack,Thaman S,Game Changer (Telugu),2025-02-02,20
5814tF9k6sRFPrLBcNQ7gk,The Sacrifice,Thaman S,Game Changer (Telugu),2025-02-02,20
4BI5dbTyzH20PUuQVHfIFI,The Return Of Parvathy,Thaman S,Game Changer (Telugu),2025-02-02,21
7bd7JbtIdiml8Bp9v3eQY0,Chusthu Chusthu,"Kapil Kapilan, Suresh Bobbili, Rambabu Gosala",Artiste [TELUGU],2025-03-21,0
1t1Py8fdCEU3VBIPL3YvpQ,Mehsoos [TELUGU],"Prasad S, Manu Vardhan, Gayathri Suresh, Sairam Mudumba",Kiss Kiss Kissik [TELUGU],2025-03-28,0
